name,,Code,latitude,longitude
Guizot / St-Denis,,6332,45.54248521,-73.63634169
de Gaspé / de Liège,,6333,45.547218,-73.631103
Leman / de Chateaubriand,,6334,45.5437119,-73.62828434
Métro Jarry (Lajeunesse / Jarry),,6335,45.54481928,-73.62151042
du Rosaire / St-Hubert,,6336,45.54297176,-73.61793905
Faillon / St-Hubert,,6338,45.54595482,-73.62699151
de Chateaubriand / Jarry,,6339,45.47456519,-73.62403572
Harvard / de Monkland,,6340,45.544867,-73.614841
de la Roche / Everett,,6341,45.467369,-73.570769
Regina / de Verdun,,6343,45.55068362,-73.61529306
Marquette / Villeray,,6344,45.5352481,-73.61756355
St-Dominique / Jean-Talon,,6345,45.55496126,-73.61073732
Louis-Hémon / Villeray,,6346,45.54969542,-73.55464697
Nicolet / Sherbrooke,,6347,45.559199,-73.599658
Métro St-Michel (Shaughnessy / St-Michel),,6349,45.4757434,-73.5646007
Ryde / Charlevoix,,6350,45.48149081,-73.56475353
Island / Centre,,6354,45.471743,-73.613924
Marcil / Sherbrooke,,6355,45.55626187,-73.5374406
Ontario / Sicard,,6356,45.47710675,-73.621438
de Monkland / Girouard,,6357,45.55748732,-73.58874857
13e avenue / St-Zotique,,6358,45.55193736,-73.59392792
1ère  avenue / St-Zotique,,6359,45.50981336,-73.56389523
Ste-Catherine / St-Laurent,,6360,45.553215,-73.58752
8e avenue / Beaubien,,6361,45.5496859,-73.59115452
Molson / Beaubien,,6362,45.54779995,-73.58486742
1ère avenue / Rosemont,,6363,45.46892698,-73.61987025
de la Côte St-Antoine / Royal,,6364,45.54991069,-73.55826259
de Chambly / Rachel,,6366,45.51014162,-73.62475187
Wilderton  / Van Horne,,6367,45.54729492,-73.57899874
3e avenue / Dandurand,,6368,45.55030553,-73.57335269
10e avenue / Masson,,6369,45.45750908,-73.63948524
U. Concordia - Campus Loyola (Sherbrooke / West Broadway),,6370,45.557192,-73.569847
d'Orléans / Masson,,6371,45.546978,-73.575515
4e avenue / Masson,,6372,45.5451997,-73.57645065
1ère avenue / Masson,,6373,45.54722665,-73.56986985
7e avenue / St-Joseph Rosemont,,6374,45.55389802,-73.57138664
15e avenue / Masson,,6375,45.477249,-73.587238
Métro Place St-Henri (St-Ferdinand / St-Jacques),,6376,45.55284236,-73.56529534
de Chambly / St-Joseph,,6377,45.47968,-73.56385
Grand Trunk / Hibernia,,6379,45.46325354,-73.57587934
de l'Église / Bannantyne,,6380,45.551584,-73.561916
Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal),,6381,45.54577595,-73.56217459
Omer-Lavallée / du Midway,,6383,45.55357074,-73.56049418
Bourbonnière / du Mont-Royal,,6384,45.5454589,-73.55666935
Darling / Sherbrooke,,6385,45.53611005,-73.57628703
de Bordeaux / Gilford,,6386,45.54178033,-73.55571449
Métro Préfontaine (Moreau / Hochelaga),,6387,45.54690718,-73.55155706
Métro Joliette  (Joliette / Hochelaga),,6388,45.55076798,-73.54942739
d'Orléans / Hochelaga,,6389,45.54158631,-73.61248076
Boyer / Jean-Talon,,6391,45.54428417,-73.5453397
Aylwin / Ontario,,6393,45.54111009,-73.54754984
Dézéry / Ontario,,6394,45.54740496,-73.54467452
Valois / Ontario,,6395,45.56178282,-73.54661107
Métro Viau (Pierre-de-Coubertin / Viau),,6396,45.55421376,-73.55155975
Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),,6397,45.55321884,-73.53978217
Marché Maisonneuve,,6398,45.55119189,-73.54087248
Desjardins / Ontario,,6401,45.48772279,-73.56908262
des Seigneurs / Notre-Dame,,6402,45.47266801,-73.58538978
Ste-Émilie / Sir-Georges-Etienne-Cartier,,6403,45.48504798,-73.57196331
Georges-Vanier / Notre-Dame,,6404,45.485889,-73.577514
Quesnel / Vinet,,6405,45.48209804,-73.57487619
Duvernay / Charlevoix,,6406,45.48020823,-73.57759863
Marché Atwater,,6407,45.48392802,-73.57731164
Charlevoix / Lionel-Groulx,,6408,45.4891,-73.57656
Métro Georges-Vanier (St-Antoine / Canning),,6409,45.48621939,-73.57374698
Lionel-Groulx / George-Vanier,,6410,45.54640752,-73.63842845
Métro Crémazie (Crémazie / Lajeunesse),,6411,45.51330257,-73.57296109
Clark / Prince-Arthur,,6412,45.553262,-73.638615
Complexe sportif Claude-Robillard,,6413,45.50355184,-73.56875539
Union / Cathcart,,6414,45.48013379,-73.58590811
Parc St-Henri (Laporte / Guay),,6415,45.46981979,-73.61696139
de Melrose / Sherbrooke,,6416,45.47735334,-73.61537218
Notre-Dame-de-Grâce / Décarie,,6417,45.5541523,-73.54749352
de la Salle / Hochelaga,,6418,45.49810026,-73.65294188
Paré / Mountain Sights,,6419,45.491513,-73.633649
Beaucourt / de la Côte-Ste-Catherine,,6420,45.48538473,-73.62814218
Métro Snowdon (de Westbury / Queen-Mary),,6421,45.54124722,-73.59104455
Cartier / Rosemont,,6422,45.55357893,-73.66208285
Fleury / Lajeunesse,,6423,45.496302,-73.629822
Hôpital général juif (de la Côte Ste-Catherine / Légaré),,6424,45.49656304,-73.56491715
Square Chaboillez (St-Jacques / de la Cathédrale),,6425,45.46284605,-73.56592163
Métro de l'Église (Ross / de l'Église),,6426,45.45948769,-73.57209206
Métro Verdun (Willibrord / de Verdun),,6427,45.47069643,-73.56542241
Métro Lasalle (de Rushbrooke / Caisse),,6428,45.45998578,-73.54395568
Berlioz / de l'Île des Soeurs,,6429,45.46714,-73.54259
Place du Commerce,,6432,45.48697062,-73.58929306
de Maisonneuve / Greene,,6433,45.48282603,-73.59084338
Hillside / Ste-Catherine,,6434,45.47742856,-73.60016942
Victoria / de Maisonneuve,,6435,45.48129147,-73.60033035
Victoria Hall,,6436,45.48580087,-73.59579743
Argyle / Sherbrooke,,6501,45.51280058,-73.53111595
Metro Jean-Drapeau (Chemin Macdonald),,6502,45.5063732,-73.52457672
Casino de Montréal,,6503,45.5303513,-73.62439245
Métro Parc  (Ogilvy / Hutchison),,6504,45.52156537,-73.53533238
La Ronde,,6700,45.54996329,-73.53443384
de la Salle / Ste-Catherine,,6701,45.50104111,-73.57717752
Stanley / Sherbrooke,,6702,45.569789,-73.548081
Métro Assomption (Chauveau / de l'Assomption),,6703,45.55500446,-73.55535507
Jardin Botanique (Pie-IX / Sherbrooke),,6704,45.561594,-73.585643
19e avenue / St-Zotique,,6705,45.456365,-73.57614
5e avenue / Bannantyne,,6706,45.45072998,-73.57257485
Beatty / de Verdun,,6707,45.45608546,-73.5819371
Métro Jolicoeur (Drake / de Sève),,6709,45.461685,-73.584039
Le Caron / Marc-Sauvalle ,,6710,45.55982812,-73.65832508
Chambord / Fleury,,6711,45.531938,-73.617842
Alexandra / Waverly,,6712,45.4379138,-73.58274043
